% Model:              Roman - nanowires vs lenght LT.mph
% Version:            COMSOL 5.1.0.234
% Date:               Aug 1 2017, 15:42
% Table:              Accumulated Probe Table 5 - 
% rh                     t                        k1                       Temperature (K), Point: (-5, 5, 207.5)
60                       3.9E-6                   0.011                    6.443147268434487
60                       4.000000000000001E-6     0.011                    6.299665281779958
60                       4.1E-6                   0.011                    6.164636344285464
60                       4.2000000000000004E-6    0.011                    6.037508428018453
60                       4.2999999999999995E-6    0.011                    5.917865496529732
60                       4.4E-6                   0.011                    5.805231243327837
60                       4.500000000000001E-6     0.011                    5.699225127693772
60                       4.6E-6                   0.011                    5.599433190839677
60                       4.700000000000001E-6     0.011                    5.50551067460312
60                       4.8E-6                   0.011                    5.417096473256817
60                       4.9000000000000005E-6    0.011                    5.333880373327751
60                       4.9999999999999996E-6    0.011                    5.255546296380523
60                       5.1E-6                   0.011                    5.181816303544587
60                       5.200000000000001E-6     0.011                    5.112412900237237
60                       5.3E-6                   0.011                    5.04708778773053
60                       5.400000000000001E-6     0.011                    4.985596778195766
60                       5.5E-6                   0.011                    4.927718524953385
60                       5.600000000000001E-6     0.011                    4.873237777074389
60                       5.7E-6                   0.011                    4.821957527941667
60                       5.8E-6                   0.011                    4.773687790010458
60                       5.900000000000001E-6     0.011                    4.72825342676099
60                       6.0E-6                   0.011                    4.6854865872787
60                       6.100000000000001E-6     0.011                    4.645231712770195
60                       6.2E-6                   0.011                    4.607340402562611
60                       6.300000000000001E-6     0.011                    4.571674575972854
60                       6.4E-6                   0.011                    4.538102957843998
60                       6.5000000000000004E-6    0.011                    4.506503040239998
60                       6.600000000000001E-6     0.011                    4.476758650406517
60                       6.7E-6                   0.011                    4.448761135302909
60                       6.799999999999999E-6     0.011                    4.422407656230396
60                       6.9E-6                   0.011                    4.397601873448908
60                       7.000000000000001E-6     0.011                    4.374252731464808
60                       7.1E-6                   0.011                    4.352274825078925
60                       7.2000000000000005E-6    0.011                    4.331587518432292
60                       7.2999999999999996E-6    0.011                    4.312115110776157
60                       7.4E-6                   0.011                    4.293786184673273
60                       7.499999999999999E-6     0.011                    4.276533648357623
60                       7.6E-6                   0.011                    4.2602942430947985
60                       7.7E-6                   0.011                    4.245008511819636
60                       7.8E-6                   0.011                    4.230620418592765
60                       7.9E-6                   0.011                    4.21707727540067
60                       8.0E-6                   0.011                    4.204329441865122
